Título,Duración,Dificultad,Ingredientes
Calabaza de bizcocho,2h 55min,difícil,"['Almendras', 'Avellanas', 'Calabaza', 'Huevos', 'AceiteVegetal', 'Azúcar', 'CanelaMolida', 'NuezMoscada', 'Sal', 'HarinaDeRepostería', 'Levadura', 'Bicarbonato', 'AzúcarGlas', 'Mantequilla', 'Leche', 'Colorante', 'CanelaMolida', 'AzúcarGlas', 'ZumoDeNaranja', 'FondantVerde', 'Mantequilla', 'Harina']"
Licor de frambuesa y Raffaello,24min,fácil,"['Frambuesas', 'AzúcarMoreno', 'JarabeDeFrambuesa', 'Bombones', 'Raffaello', 'Leche', 'NataLíquida', 'Azúcar', 'Vodka']"
Sopa de queso,34min,fácil,"['Cebollas', 'Mantequilla', 'HarinaDeRepostería', 'QuesoEmmental', 'CaldoDeCarne', 'NataLíquida', 'Leche', 'Sal', 'Pimienta', 'Cebollino', 'Cebolla', 'Frita']"
Tarta de calabaza y carne picada,1h 35min,fácil,"['Sal', 'HarinaDeRepostería', 'Huevo', 'Mantequilla', 'Chalotes', 'Ajo', 'Tomillo', 'Mejorana', 'AceiteDeOliva', 'CaldoDeVerduras', 'Tomate', 'Huevos', 'CalabazaMoscada', 'CarnePicada', 'Sal', 'Pimienta', 'Guindilla', 'QuesoDeCabra', 'Harina', 'Aceite']"
Trucha con patatas y pepino,49min,medio,"['Patatas', 'Sal', 'Truchas', 'Limpias', 'Limón', 'Tomillo', 'Pimienta', 'Pepinos', 'Cebolletas', 'Cebollino', 'CaldoDeVerduras', 'AceiteDeOliva', 'VinagreDeVinoBlanco', 'Mostaza']"
Tarta francesa de calabacín,1h 25min,fácil,"['Sal', 'HarinaDeRepostería', 'Huevo', 'Mantequilla', 'QuesoComté', 'QuesoDeCabra', 'Huevo', 'Tomillo', 'Mostaza', 'Sal', 'Pimienta', 'Calabacín', 'Tomates', 'HarinaDeRepostería', 'Aceite']"
Col rizada con salchichas Pinkel,1h 18min,medio,"['Cebollas', 'MantecaDeCerdo', 'Panceta', 'Avena', 'Mondada', 'Sal', 'NuezMoscada', 'PimientaMolida', 'ColRizada', 'Pimienta', 'Azúcar', 'Patatas', 'SalchichasDeCerdo']"
Cucuruchos caseros,1h 10min,medio,"['Azúcar', 'Mantequilla', 'HarinaDeRepostería', 'Huevo', 'Sal', 'CanelaMolida']"
Café Dalgona,5min,fácil,"['Café', 'Azúcar', 'Leche', 'Hielo', 'Chocolate', 'Canela']"
Helado de pistacho con menta,10h 25min,fácil,"['Pistachos', 'Leche', 'NataLíquida', 'YemaDeHuevo', 'Azúcar', 'EsenciaDeVainilla', 'Sal', 'Menta', 'Limas']"
Tortilla de champiñones y queso fresco de cabra,25min,fácil,"['Champiñones', 'Perejil', 'Eneldo', 'Huevos', 'Leche', 'Sal', 'Pimienta', 'NuezMoscada', 'QuesoDeCabra', 'Cebollino']"
Tarta sándwich sueca,1h 30min,medio,"['SalmónAhumado', 'Queso', 'NataAgria', 'Sal', 'Pimienta', 'Aguacate', 'ZumoDeLimón', 'RábanoPicante', 'Pan', 'Rabanitos', 'Brotes']"
Tarta Selva Negra,2h 40min,medio,"['Huevos', 'Azúcar', 'AzúcarAvainillado', 'HarinaDeRepostería', 'Maicena', 'Sal', 'Cacao', 'Mantequilla', 'HarinaDeRepostería', 'Azúcar', 'Sal', 'YemaDeHuevo', 'Guindas', 'Gelatina', 'Kirsch', 'AzúcarGlas', 'NataLíquida', 'AzúcarAvainillado', 'ChocolateNegro', 'Mantequilla', 'HarinaDeRepostería']"
Chocolate helado rápido,5min,fácil,"['Azúcar', 'Cacao', 'Hielo', 'Leche']"
Pollo al limón con arroz a las hierbas,38min,fácil,"['Cebolla', 'Perejil', 'ArrozBasmati', 'Sal', 'Pimienta', 'PechugaDePollo', 'PimentónDulce', 'Cebollino', 'Sésamo', 'Limón', 'Maicena', 'Ajo', 'Jengibre', 'SalsaDeSoja', 'Miel', 'Mantequilla']"
Chipirones con puré de alubias,45min,medio,"['Aceite', 'SemillasDeHinojo', 'GuindillaPicante', 'Tomillo', 'AceiteDeOliva', 'ZumoDeLima', 'Azúcar', 'Sal', 'Chipirones', 'Chipirones', 'AceiteDeOliva', 'PimentónDulce', 'Cayena', 'Sal', 'PuréDeAlubias', 'AlubiasBlancas', 'Ajo', 'Chalotes', 'AceiteDeOliva', 'HojaDeLaurel', 'Nata', 'Sal', 'Pimienta', 'Alcachofas', 'Perejil', 'AceiteDeOliva', 'Sal', 'Pimienta']"
Pescado al eneldo con hortalizas variadas,49min,fácil,"['Hinojo', 'Puerro', 'Chalotes', 'AceiteVegetal', 'Calabacín', 'CaldoDeVerdurasDePescado', 'ZumoDeLimón', 'Sal', 'Eneldo', 'Tomates', 'NataAgria', 'Nata']"
"Pechuga de pollo rellena de chorizo, queso de Mahón y espinacas",59min,medio,"['QuesoManchego', 'ChorizoPicante', 'Ajo', 'AceiteDeOliva', 'Espinacas', 'Sal', 'PechugaDePollo', 'Pimienta', 'VinoBlanco', 'CaldoDeAve', 'NataLíquida', 'Tomate']"
Salchichas frikandel,38min,medio,"['Cebollas', 'CarnePicadaDeCerdo', 'Sal', 'Pimienta', 'NuezMoscada', 'PimientaMolida', 'PanRallado', 'NataLíquida', 'Huevo', 'AceiteVegetal', 'Kétchup', 'Mayonesa']"
Bizcochitos friands,40min,fácil,"['Azúcar', 'Mantequilla', 'Naranja', 'HarinaDeRepostería', 'AlmendraMolida', 'AzúcarAvainillado', 'Sal', 'ClaraDeHuevo', 'Cacahuetes', 'AzúcarGlas', 'MúltipleMagdalenasMagdalenas']"
Crostata de ricota y limón (sin gluten),2h 22min,medio,"['Limón', 'Mantequilla', 'Azúcar', 'Sal', 'PreparadoDeHarinaSinGluten', 'CáscaraDePsylliumMolida', 'CrémorTártaro', 'Huevo', 'Huevos', 'Azúcar', 'Ricota', 'Limón', 'Azúcar', 'Gelatina', 'Mantequilla', 'PanRallado']"
Cruasanes,3h 25min,medio,"['HarinaDeRepostería', 'Mantequilla', 'Sal', 'Azúcar', 'HarinaDeRepostería']"
Galletas saladas con chutney de melocotón,1h 17min,fácil,"['PipasDeGirasol', 'PipasDeCalabaza', 'Linaza', 'HarinaDeTrigoIntegral', 'AceiteDeOliva', 'Sal', 'Cebollas', 'Romero', 'AceiteDeOliva', 'Melocotón', 'ZumoDeLima', 'Sal', 'HarinaDeTrigoIntegral']"
Pan de plátano vegano,55min,fácil,"['Nueces', 'Plátanos', 'LecheDeAlmendra', 'AceiteVegetal', 'VinagreDeManzana', 'HarinaDeEspelta', 'Azúcar', 'Cacao', 'CrémorTártaro', 'Sal', 'Mantequilla', 'HarinaDeEspelta']"
Bol de cuscús con ensalada de garbanzos y huevo,37min,fácil,"['Huevos', 'Brócoli', 'Sal', 'Cebolletas', 'Cebolla', 'AceiteDeOliva', 'Kétchup', 'Tomate', 'CaldoDeVerduras', 'Cuscús', 'Cebolla', 'ZumoDeNaranja', 'AceiteDeOliva', 'VinagreBalsámico', 'Pimienta', 'Garbanzos', 'Tomates', 'Cilantro']"
Risotto de calabaza,38min,fácil,"['Parmesano', 'Calabaza', 'Chalotes', 'AceiteDeOliva', 'Sal', 'ArrozArborio', 'Romero', 'CaldoDeVerduras', 'Mantequilla', 'Pimienta', 'NuezMoscada', 'PipasDeCalabaza', 'Lechuga']"
Crema de ajo,35min,fácil,"['Cebollas', 'Ajo', 'Mantequilla', 'HarinaDeRepostería', 'CaldoDeVerduras', 'NataLíquida', 'Sal', 'Pimienta']"
Chutney de guindas,52min,fácil,"['Cebolla', 'GuindillaPicante', 'AceiteDeGirasol', 'Guindas', 'AzúcarMoreno', 'VinagreBalsámico']"
Kibbeling con salsa de ajo,45min,medio,"['Ajo', 'Perejil', 'Nata', 'Yogur', 'Mostaza', 'VinagreDeVinoBlanco', 'Sal', 'Pimienta', 'Pimentón', 'AjoMolido', 'NuezMoscada', 'Sal', 'Pimienta', 'LomoDeDeBacalao', 'Leche', 'Huevo', 'HarinaDeRepostería', 'AceiteVegetal', 'Limón']"
Bizcocho de chocolate vegano italiano,2h 5min,fácil,"['ChocolateNegro', 'Margarina', 'Xilitol', 'SucedáneoDeHuevo', 'AguaConGas', 'Vainilla', 'BebidaDeSoja', 'SiropeDeAgave', 'Harina', 'Levadura', 'Cacao', 'Mantequilla', 'PanRallado']"
Hummus de calabaza,1h 40min,medio,"['CalabazaMoscada', 'AceiteVegetal', 'Sal', 'Garbanzos', 'Tahín', 'ZumoDeLimón', 'Sal', 'CominoMolido', 'Pimienta', 'AceiteDeOliva', 'Sal', 'Pimienta', 'AceiteDeOliva', 'Perejil', 'Cilantro', 'CacahuetesTostados']"
Sopa de mostaza holandesa,31min,fácil,"['Mantequilla', 'HarinaDeRepostería', 'CaldoDeVerduras', 'NataLíquida', 'Cebolletas', 'MostazaPicante', 'Sal', 'Pimienta']"
Barritas de proteínas,1h 10min,fácil,"['Barritas', 'AceiteDeCoco', 'ProteínaConSaborACoco', 'AlmendraMolida', 'Coco', 'CremaDeAlmendra', 'JarabeDeArroz', 'LecheDeAlmendra', 'Frutos', 'FrutasDeshidratadas', 'Chocolate']"
Mermelada de higos,30min,fácil,"['Higos', 'Limón', 'AzúcarMoreno']"
Shortbread (galletas escocesas de mantequilla),55min,medio,"['Mantequilla', 'Huevos', 'Sal', 'Azúcar', 'HarinaDeRepostería', 'HarinaDeRepostería']"
Sfincione (pizza siciliana),2h 25min,fácil,"['Harina', 'Levadura', 'Sal', 'Pan', 'Orégano', 'Cebollas', 'AceiteDeOliva', 'Tomate', 'Sal', 'Azúcar', 'PimientaPecorino', 'Scamorza', 'Aceitunas', 'Anchoa', 'HarinaDeRepostería']"
Tiras de ternera con pimiento y arroz rojo,57min,fácil,"['HierbasVariadas', 'Yogur', 'ZumoDeLima', 'Sal', 'Pimienta', 'Ajo', 'Cebollas', 'Tomates', 'AceiteDeOliva', 'Arroz', 'Guisantes', 'CaldoDeCarne', 'Pimiento', 'PimientosRojos', 'BistecDeTernera']"
Sopa de fideos udon,29min,fácil,"['Zanahoria', 'Champiñones', 'Cebolletas', 'CaldoMiso', 'SalsaDeSoja', 'FideosUdon']"
Galette de tomate y queso de cabra,1h 15min,fácil,"['Sal', 'HarinaDeRepostería', 'HarinaDeTrigoSarraceno', 'Huevo', 'Mantequilla', 'QuesoDeCabra', 'Tomates', 'Cebolla', 'Tomillo', 'Sal', 'Pimienta', 'HarinaDeRepostería']"
Sushi con salsa teriyaki,1h 18min,difícil,"['Ajo', 'Jengibre', 'Mirin', 'SalsaDeSoja', 'AzúcarMoreno', 'VinagreDeArroz', 'Azúcar', 'Sal', 'Arroz', 'Sésamo', 'LomoDeSalmón', 'Pepino', 'Aguacate', 'Nori', 'Jengibre', 'Wasabi']"
Polenta cremosa con boloñesa de lentejas,1h 4min,fácil,"['Perejil', 'Cebolla', 'Ajo', 'Zanahoria', 'AceiteDeOliva', 'Lentejas', 'CaldoDeVerduras', 'Tomate', 'Cebolletas', 'NataLíquida', 'Azúcar', 'Orégano', 'Tomillo', 'Mejorana', 'Sal', 'Pimienta', 'VinagreBalsámico', 'Polenta', 'Queso', 'Parmesano', 'Sal', 'Sémola', 'Maíz', 'Polenta', 'Mantequilla']"
Bruschettas variadas,2h 25min,medio,"['Azúcar', 'Levadura', 'Harina', 'AceiteDeOliva', 'Sal', 'SémolaDeTrigo', 'Ajo', 'Albahaca', 'Chalotes', 'AceiteDeOliva', 'Tomates', 'Azúcar', 'Sal', 'Pimienta', 'AceitunasNegras', 'AceitunasVerdes', 'Ajo', 'Tomillo', 'Alcaparras', 'Pimienta', 'AceiteDeOliva', 'CremaDe', 'Atún', 'Atún', 'Aceite', 'Alcaparras', 'Mayonesa', 'Sal', 'Pimienta', 'Limón', 'SémolaDeTrigo', 'AceiteDeOliva']"
Tarta Bienenstich de crema y almendras,4h,difícil,"['Levadura', 'Leche', 'Levadura', 'Azúcar', 'Mantequilla', 'HarinaDeRepostería', 'Sal', 'Leche', 'PreparadoParaNatillas', 'Azúcar', 'AzúcarAvainillado', 'NataLíquida', 'Almendra', 'Mantequilla', 'NataLíquida', 'Azúcar', 'Miel', 'Almendra', 'Mantequilla', 'PanRallado', 'Harina']"
Desayuno del campesino (tradicional alemán),37min,fácil,"['Cebollas', 'Panceta', 'Leche', 'Huevos', 'Sal', 'Pimienta', 'Patatas', 'TomatesCherry', 'Pepinillos', 'Cebollino']"
Filetes de coliflor con marinada asiática,40min,fácil,"['Ajo', 'Guindilla', 'SalsaDeSoja', 'Miel', 'Lima', 'AceiteDeSésamo', 'Coliflor', 'Coliflor', 'Aguacate', 'Sal', 'Wasabi', 'AceiteVegetal']"
Muesli Bircher,8h 10min,fácil,"['Manzanas', 'ZumoDeLimón', 'Avena', 'YogurGriego', 'Miel', 'Leche']"
Rosquillas de quark con salsa de frambuesa,46min,medio,"['Huevos', 'Azúcar', 'Vainilla', 'Quark', 'HarinaDeTrigo', 'HarinaDeTrigoIntegral', 'Mantequilla', 'Levadura', 'Bicarbonato', 'Sal', 'Aguardiente', 'Frambuesas', 'Azúcar', 'HarinaDePatata', 'Harina', 'AceiteVegetal', 'AzúcarGlas']"
Pollo en nido de patata con hortalizas de primavera,1h 10min,medio,"['Patata', 'Parmesano', 'Patatas', 'Sal', 'Mantequilla', 'Huevos', 'NuezMoscada', 'PechugaDePollo', 'Zanahorias', 'EspárragosVerdes', 'Sal', 'Pimienta', 'Cebolla', 'Mantequilla', 'HarinaDeRepostería', 'CaldoDeAve', 'NataLíquida', 'ZumoDeLimón', 'Guisantes', 'Cebolletas']"
Crema vegana de ajo de oso,10min,fácil,"['Ajo', 'AceiteDeOliva', 'Garbanzos', 'ZumoDeLimón', 'Sal', 'Pimienta', 'PiñonesTostados']"
Torta pascualina (Tarta de espinacas),2h 19min,difícil,"['HarinaDeRepostería', 'AceiteDeOliva', 'Sal', 'Queso', 'Parmesano', 'Espinacas', 'Cebolla', 'AceiteDeOliva', 'Sal', 'Pimienta', 'Mejorana', 'Ricota', 'Huevos', 'Harina', 'Aceite']"
Turrón de pistacho y almendra,2h 55min,fácil,"['ClaraDeHuevo', 'Miel', 'Pistachos', 'Almendras', 'Obleas']"
Creps de espárragos y salmón,1h 3min,medio,"['Queso', 'Parmesano', 'Leche', 'HarinaDeRepostería', 'Huevos', 'Sal', 'EspárragosBlancos', 'Pimienta', 'Mantequilla', 'CaldoDeVerduras', 'NuezMoscada', 'LomoDeSalmón', 'Queso', 'Cebollino', 'Mantequilla']"
Tostada con huevo escalfado y ensalada,26min,medio,"['Mostaza', 'MermeladaDeAlbaricoque', 'AceiteDeOliva', 'Vinagre', 'Sal', 'Pimienta', 'Ensalada', 'Lechuga', 'Rabanitos', 'TomatesCherry', 'Piñones', 'Huevos', 'Pan', 'Cebollino', 'Sal']"
Salsa Pistou,5min,fácil,"['Albahaca', 'Ajo', 'AceiteDeOliva', 'Sal']"
Pasta con espárragos verdes y salsa de limón,20min,fácil,"['Queso', 'Parmesano', 'EspárragosVerdes', 'Sal', 'Limón', 'Albahaca', 'Espaguetis', 'Chalotes', 'Mantequilla', 'Pimienta']"
Pasta gratinada,1h 10min,fácil,"['QuesoGouda', 'Queso', 'Parmesano', 'Plumas', 'Sal', 'Leche', 'Huevos', 'Pimienta', 'TomatesCherry', 'JamónCocido', 'Guisantes', 'PanRallado', 'Mantequilla']"
Sal a las hierbas,3h 10min,fácil,"['Perejil', 'Romero', 'Tomillo', 'Orégano', 'Salvia', 'Menta', 'Sal', 'PimientaNegra']"
Pavo al curry con melocotón,58min,medio,"['Perejil', 'Arroz', 'Sal', 'PechugaDePavo', 'Zanahorias', 'Puerros', 'Pimienta', 'Melocotón', 'Cebollas', 'Jengibre', 'AceiteDeGirasol', 'Curry', 'LecheDeCoco', 'CaldoDeVerduras', 'Maicena', 'Guisantes', 'Anacardos']"
Fougasse,2h 5min,fácil,"['Levadura', 'Azúcar', 'HarinaDeRepostería', 'Sal', 'Romero', 'AceiteDeOliva', 'Harina']"
Tarta helada de fresas y chocolate,6h 20min,fácil,"['Mantequilla', 'Fresas', 'AzúcarAvainillado', 'Yogur', 'Mascarpone', 'BarritasDeChocolateRellenasDeYogurDeFresa', 'BarritasDeChocolateRellenasDeYogurDeFresa', 'ChocolateNegro', 'G', 'Fresas', 'Frambuesas']"
Ensalada de huevo con berros,20min,fácil,"['Huevos', 'Rabanitos', 'Yogur', 'MostazaPicante', 'Sal', 'Pimienta', 'Cebolleta', 'Berros']"
Churros con salsa de chocolate,55min,medio,"['Mantequilla', 'Sal', 'CanelaMolida', 'HarinaDeRepostería', 'Huevos', 'NataLíquida', 'ChocolateNegro', 'CanelaMolida', 'GuindillaMolida', 'AzúcarAvainillado', 'AceiteVegetal']"
Chiacchiere (pastas italianas de Carnaval),50min,fácil,"['Huevo', 'Azúcar', 'Mantequilla', 'Sal', 'HarinaDeRepostería', 'Harina', 'AceiteVegetal', 'AzúcarGlas']"
Guiso de hortalizas variadas con nata agria,41min,fácil,"['Zanahorias', 'Colinabos', 'Tirabeques', 'Puerros', 'Sal', 'Pimienta', 'Cebollas', 'Mantequilla', 'NataAgria', 'MostazaPicante', 'NuezMoscada', 'CaldoDeVerduras', 'Guisantes', 'Cebollino', 'PipasDeGirasol']"
Rollitos de col rellenos de cebada perlada,1h 51min,medio,"['CebadaPerlada', 'Sal', 'AceiteVegetal', 'Col', 'Chalotes', 'Ajo', 'Mantequilla', 'Champiñones', 'CiruelasDeshidratadas', 'Eneldo', 'Mejorana', 'Pimienta', 'CaldoDeVerduras', 'TomateTriturado', 'Miel', 'AceiteDeOliva', 'Sal', 'Pimienta', 'Albahaca', 'Aceite']"
Ensalada de col,8h 10min,fácil,"['Col', 'Zanahoria', 'Cebolla', 'Mayonesa', 'Aceite', 'VinagreDeFruta', 'SueroDeMantequilla', 'ZumoDeLimón', 'Azúcar', 'Pimienta', 'Sal']"
Pastel de semillas de amapola vegano y sin gluten,1h 30min,fácil,"['HarinaDeMijo', 'HarinaDeArroz', 'HarinaDePatata', 'LinazaMolida', 'Azúcar', 'Sal', 'AceiteDeCoco', 'VinagreDeManzana', 'Nueces', 'Almendras', 'Leche', 'Avena', 'SemillasDeAmapolaMolidas', 'JarabeDeArce', 'ArándanosRojosDeshidratados', 'NaranjaConfitada', 'AceiteDeCoco', 'RonBlanco']"
Crema de remolacha roja,27min,fácil,"['Patatas', 'CaldoDeVerduras', 'Cilantro', 'Guindilla', 'RemolachasCocidas', 'AceiteDeOliva', 'VinagreBalsámico', 'JarabeDeArce', 'SemillasDeCilantro', 'Sal', 'Pimienta', 'NataAgria']"
Pierogi ruskie (empanadillas polacas),1h 2min,medio,"['HarinaDeEspelta', 'AceiteVegetal', 'Sal', 'NuezMoscada', 'Patatas', 'Cebollas', 'AceiteVegetal', 'QuarkDesnatado', 'Sal', 'Pimienta', 'Harina']"
Tortitas polacas con manzana,50min,fácil,"['Levadura', 'Azúcar', 'Leche', 'HarinaDeRepostería', 'HarinaDeTrigoIntegral', 'Canela', 'Sal', 'Huevos', 'Manzanas', 'AceiteVegetal', 'AzúcarGlas', 'NataAgria']"
Pastel de queso al caramelo con merengue,1h 47min,medio,"['Azúcar', 'NataLíquida', 'JarabeDeArce', 'Mantequilla', 'Requesón', 'Huevos', 'PreparadoParaNatillas', 'HarinaDeRepostería', 'Mantequilla', 'Harina']"
Minihamburguesas al horno,30min,fácil,"['Cebolla', 'Ajo', 'Perejil', 'Apio', 'Zanahoria', 'CarnePicadaDePavo', 'CebadaPerladaCocida', 'Mejorana', 'Mostaza', 'Pimienta']"
Crema de tubérculos con castañas caramelizadas,55min,fácil,"['Chalotes', 'AceiteDeOliva', 'Apionabo', 'Perejil', 'Patatas', 'Zanahorias', 'CaldoDeVerduras', 'NataLíquida', 'Sal', 'Pimienta', 'CastañasCocidas', 'Mantequilla', 'AzúcarGlas']"
"Ensalada de invierno con col lombarda, nueces y naranja",20min,fácil,"['Nueces', 'Naranjas', 'AceiteVegetal', 'Vinagre', 'Mostaza', 'Azúcar', 'Sal', 'Pimienta', 'Aceite', 'Nuez', 'ColLombarda', 'Ensalada', 'Parmesano']"
Guiso de pasta con coles de Bruselas y jamón,40min,fácil,"['Chalotes', 'Mantequilla', 'JamónSerrano', 'CaldoDeVerduras', 'NataLíquida', 'Queso', 'Pimienta', 'Sal', 'Pasta', 'ColesDeBruselas']"
Medialunas de vainilla,1h 39min,fácil,"['Azúcar', 'HarinaDeRepostería', 'AlmendrasMolidas', 'Sal', 'Mantequilla', 'YemaDeHuevo', 'Vainilla']"
Crema de Spekulatius,10min,fácil,"['Galletas', 'Mantequilla', 'LecheCondensada', 'CanelaMolida', 'Sal']"
Galletas blanquinegras,2h 39min,medio,"['Azúcar', 'Vainilla', 'HarinaDeRepostería', 'Levadura', 'AzúcarAvainillado', 'Huevo', 'Mantequilla', 'Cacao', 'Leche', 'ClaraDeHuevo', 'HarinaDeRepostería']"
Galletas de almendra y avellana,2h 25min,fácil,"['Avellanas', 'Almendras', 'Mantequilla', 'Azúcar', 'HarinaDeRepostería']"
Barritas de muesli,2h 25min,fácil,"['Cacahuetes', 'Almendras', 'Coco', 'Fruta', 'Avena', 'AceiteVegetal', 'Miel', 'AceiteDeCoco', 'ChocolateNegro']"
Sorbete de mandarina con cava,12h 40min,fácil,"['Azúcar', 'Mandarinas', 'Limón', 'Cava']"
Pastas de coco,1h 6min,fácil,"['ClaraDeHuevo', 'Sal', 'Azúcar', 'ZumoDeLimón', 'AzúcarAvainillado', 'Coco', 'Obleas']"
Bacalao con col picuda,39min,medio,"['Cebollas', 'Col', 'AceiteVegetal', 'JamónSerrano', 'CaldoDeVerduras', 'NataAgria', 'Sal', 'Pimienta', 'Bacalao', 'ZumoDeLimón']"
Pechuga de pato cocida al vacío con albóndigas de patata y col lombarda,6h 40min,difícil,"['Patatas', 'Sal', 'YemaDeHuevo', 'AlmidónDePatata', 'Pimienta', 'NuezMoscada', 'ColLombarda', 'ColLombarda', 'Cebolla', 'Manzana', 'ArándanosRojos', 'ZumoDeManzana', 'VinagreDeManzana', 'Sal', 'Pimienta', 'Azúcar', 'Clavos', 'PechugasDePato', 'Mantequilla', 'HarinaDeRepostería', 'Pato', 'Sal', 'Pimienta']"
Galletas Lebkuchen,1h 30min,fácil,"['Avellanas', 'Almendras', 'AlmendraMolida', 'LimónConfitada', 'NaranjaConfitada', 'Huevos', 'AzúcarMoreno', 'Naranja', 'Miel', 'CanelaMolida', 'EspeciasParaLebkuchen', 'Bicarbonato', 'Obleas', 'Azúcar', 'ZumoDeLimón', 'ChocolateNegro']"
Stollen,2h 40min,fácil,"['Pasas', 'NaranjaConfitada', 'LimónConfitada', 'Ron', 'Leche', 'Levadura', 'Azúcar', 'Limón', 'HarinaDeRepostería', 'Mantequilla', 'AzúcarAvainillado', 'CanelaMolida', 'CardamomoMolido', 'AromaDeAlmendraAmarga', 'Mantequilla', 'AzúcarGlas', 'Mantequilla', 'Harina']"
Manzanas asadas rellenas de almendra y mazapán,34min,fácil,"['Manzanas', 'ZumoDeLimón', 'Almendras', 'Mazapán', 'CanelaMolida', 'Mantequilla']"
Terrina de espárragos con gambas,7h 3min,medio,"['EspárragosVerdes', 'EspárragosBlancos', 'CaldoDeVerduras', 'Guisantes', 'Gelatina', 'Mantequilla', 'Gambas', 'Sal', 'Pimienta', 'Eneldo', 'Perifollo', 'Cebollino', 'NataAgria', 'Yogur', 'ZumoDeLima']"
Conejos de Pascua,2h 30min,medio,"['Leche', 'Levadura', 'Azúcar', 'Mantequilla', 'Huevo', 'Harina', 'Sal', 'HarinaDeRepostería', 'YemaDeHuevo', 'NataLíquida', 'Pasas']"
Batido con higos y avellanas en bol,15min,fácil,"['Higos', 'Naranja', 'Pomelo', 'Plátano', 'Pera', 'Zumo', 'Pera', 'AvellanaPicada', 'Avena', 'Coco']"
Batido de zanahoria,10min,fácil,"['Zanahorias', 'Naranja', 'ArándanosRojosDeshidratados', 'Avena', 'Yogur', 'LecheDeCoco', 'SiropeDeAgave', 'Hielo', 'Coco']"
